Q36b,Q37b,Q38b,QRID,Q39b,Q5,Q6,country,Q15a,Q15b
Yes,Yes,,5189072,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5189090,Yes,Strongly favor,Legal in all cases,France,Seldom,
Yes,Yes,Yes,5189100,Yes,Favor,Legal in most cases,France,Never,
Yes,No,,5189102,Yes,Favor,Legal in most cases,France,Seldom,
Yes,No,,5189108,Yes,Strongly favor,Legal in most cases,France,A few times a year,
Yes,Yes,Yes,5189111,Yes,Favor,Legal in all cases,France,Seldom,
Yes,Yes,Yes,5189113,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,,5189115,Yes,Favor,Illegal in all cases,France,Never,
Yes,,Yes,5189129,Yes,Favor,Legal in all cases,France,,Once a week for Friday Prayer
Yes,Yes,,5189164,Yes,Favor,Legal in all cases,France,A few times a year,
Yes,Yes,Yes,5189206,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5189240,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5189244,,Don't know (DO NOT READ),Illegal in most cases,France,Seldom,
Yes,Yes,,5189265,Yes,Favor,Legal in all cases,France,Seldom,
Yes,,Yes,5189305,Yes,Favor,Legal in most cases,France,,Once or twice a month
Yes,Yes,Yes,5189322,Yes,Favor,Legal in most cases,France,Never,
Yes,No,Yes,5189326,No,Favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5189363,Yes,Oppose,Illegal in all cases,France,Never,
Yes,Yes,,5189382,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,,5189386,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5189392,Yes,Don't know (DO NOT READ),Don't know (DO NOT READ),France,Never,
Yes,Yes,,5189407,Yes,Oppose,Legal in all cases,France,A few times a year,
Yes,Yes,,5189430,No,Favor,Legal in all cases,France,A few times a year,
Yes,Yes,,5189450,Yes,Oppose,Legal in most cases,France,Never,
Yes,Yes,,5189469,Yes,Oppose,Illegal in most cases,France,Never,
No,No,,5189512,Yes,Strongly oppose,Illegal in all cases,France,Never,
Yes,Yes,,5189520,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,No,,5189538,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5189542,Yes,Strongly oppose,Illegal in most cases,France,Never,
Yes,Yes,,5189553,Yes,Favor,Legal in most cases,France,Once a week,
No,No,Yes,5189560,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5189568,Yes,Favor,Legal in all cases,France,Never,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,5189583,Yes,Oppose,Illegal in most cases,France,Once or twice a month,
Yes,Yes,,5189608,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5189611,Yes,Favor,Legal in most cases,France,Never,
No,,Yes,5189615,Yes,Strongly oppose,Legal in most cases,France,,Once a week for Friday Prayer
Yes,Yes,Yes,5189643,Yes,Don't know (DO NOT READ),Don't know (DO NOT READ),France,Once or twice a month,
Yes,Yes,Yes,5189708,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,,5189713,Yes,Strongly favor,Legal in most cases,France,Seldom,
Yes,Yes,,5189726,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Other / Both / Neither / Depends (DO NOT READ),,5189742,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5189747,Yes,Don't know (DO NOT READ),Legal in most cases,France,Seldom,
Yes,Yes,Yes,5189750,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,,5189756,Yes,Strongly favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,,5189764,Yes,Oppose,Legal in all cases,France,Once or twice a month,
Yes,Yes,,5189771,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5189772,,Don't know (DO NOT READ),Legal in most cases,France,A few times a year,
Yes,,Yes,5189775,Yes,Favor,Legal in most cases,France,,Once a week for Friday Prayer
Yes,Yes,,5189781,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,Yes,5189832,Yes,Favor,Legal in all cases,France,Never,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,5189853,No,Oppose,Illegal in most cases,France,Once or twice a month,
Yes,Yes,,5189854,Yes,Strongly favor,Legal in all cases,France,Once or twice a month,
Yes,Yes,,5189864,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5189884,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,No,,5189901,Yes,Strongly favor,Legal in most cases,France,Seldom,
Yes,Yes,,5189902,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5189919,Yes,Favor,Legal in all cases,France,Seldom,
Yes,Yes,Yes,5189935,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5189936,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,,5189942,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5189945,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,,5189951,Yes,Strongly favor,Legal in all cases,France,Once or twice a month,
Yes,Yes,Yes,5189957,,Favor,Legal in all cases,France,Once a week,
Yes,Yes,,5189966,Yes,Favor,Legal in all cases,France,Seldom,
Yes,Yes,,5189971,Yes,Favor,Legal in most cases,France,Seldom,
No,,No,5189974,No,Oppose,Illegal in all cases,France,,Once a week for Friday Prayer
Yes,Yes,,5190014,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5190027,Yes,Favor,Legal in all cases,France,Seldom,
No,Yes,,5190032,Yes,Favor,Illegal in most cases,France,Seldom,
Yes,No,Yes,5190057,Yes,Favor,Legal in most cases,France,Never,
Yes,No,Yes,5190122,Yes,Favor,Legal in most cases,France,Never,
Yes,,Yes,5190124,Yes,Favor,Legal in all cases,France,,Once a week for Friday Prayer
Yes,Yes,,5190138,Yes,Strongly favor,Legal in most cases,France,Seldom,
Yes,Yes,,5190147,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5190170,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,,5190204,Yes,Strongly favor,Legal in most cases,France,Once a week,
Yes,,Yes,5190233,Yes,Strongly favor,Legal in most cases,France,,Seldom
Yes,Yes,,5190269,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5190307,Yes,Oppose,Legal in most cases,France,Once or twice a month,
Yes,Yes,Yes,5190335,Yes,Favor,Legal in most cases,France,Seldom,
Yes,No,,5190337,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5190359,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,No,No,5190362,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5190376,,Favor,Illegal in all cases,France,Never,
Yes,Yes,Yes,5190436,Yes,Oppose,Legal in most cases,France,Never,
Yes,Yes,,5190454,Yes,Favor,Legal in all cases,France,A few times a year,
Yes,Yes,,5190465,Yes,Favor,Legal in most cases,France,Once or twice a month,
No,No,,5190495,Yes,Strongly favor,Legal in most cases,France,Seldom,
Yes,No,,5190513,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,Yes,5190523,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5190527,Yes,Favor,Legal in most cases,France,Never,
Yes,,Yes,5190590,Yes,Oppose,Legal in most cases,France,,Seldom
Yes,No,,5190604,Yes,Strongly favor,Legal in most cases,France,Seldom,
Yes,Yes,,5190613,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,,5190622,Yes,Strongly favor,Legal in all cases,France,A few times a year,
Yes,Yes,Yes,5190653,Yes,Strongly favor,Legal in all cases,France,Seldom,
Yes,Yes,Yes,5190668,Yes,Strongly favor,Legal in all cases,France,Seldom,
Yes,Yes,,5190694,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5190706,Yes,Favor,Don't know (DO NOT READ),France,Seldom,
Yes,,Yes,5190723,Yes,Strongly oppose,Illegal in all cases,France,,Once a week for Friday Prayer
Yes,Yes,,5190724,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,,5190749,Other / Both / Neither / Depends (DO NOT READ),Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5190767,Yes,Oppose,Illegal in all cases,France,Never,
Yes,Yes,Yes,5190791,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5190800,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5190802,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,,5190813,Yes,Favor,Legal in most cases,France,A few times a year,
No,Yes,,5190817,No,Favor,Legal in most cases,France,Never,
Yes,Yes,,5190827,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5190842,Yes,Oppose,Illegal in most cases,France,A few times a year,
Yes,Yes,,5190847,Yes,Favor,Legal in all cases,France,Seldom,
Yes,Yes,,5190870,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5190887,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5190909,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5190926,Yes,Favor,Legal in all cases,France,Seldom,
Yes,Yes,,5190943,Yes,Strongly favor,Legal in all cases,France,Once or twice a month,
Yes,Yes,Yes,5190971,Yes,Strongly favor,Legal in all cases,France,A few times a year,
Yes,Yes,,5190995,Yes,Favor,Legal in all cases,France,Once a week,
Yes,Yes,Yes,5191012,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5191030,Yes,Strongly favor,Legal in all cases,France,A few times a year,
Yes,Yes,Yes,5191081,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5191085,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,Yes,5191127,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5191145,Yes,Oppose,Illegal in all cases,France,Never,
Yes,Yes,,5191178,Yes,Favor,Legal in all cases,France,Once a week,
Yes,,Yes,5191187,Yes,Favor,Legal in most cases,France,,Once a week for Friday Prayer
Yes,Other / Both / Neither / Depends (DO NOT READ),,5191197,Yes,Strongly favor,Legal in all cases,France,A few times a year,
Yes,Yes,,5191201,Yes,Strongly favor,Illegal in most cases,France,A few times a year,
Yes,Yes,,5191234,Yes,Oppose,Legal in all cases,France,Never,
Yes,Yes,,5191290,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,Yes,5191297,Yes,Oppose,Legal in most cases,France,Never,
Yes,Yes,,5191300,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5191305,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5191377,Yes,Favor,Illegal in most cases,France,Once or twice a month,
Yes,Yes,,5191379,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,,5191383,Yes,Favor,Legal in all cases,France,A few times a year,
Yes,Yes,Yes,5191397,Yes,Favor,Legal in most cases,France,Never,
Yes,No,,5191426,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,Yes,5191442,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5191445,,Refused (DO NOT READ),Illegal in most cases,France,A few times a year,
Yes,Yes,,5191454,Yes,Favor,Legal in most cases,France,Once a week,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,5191475,No,Favor,Legal in most cases,France,A few times a year,
,Yes,Yes,5191499,Yes,Oppose,Legal in most cases,France,Never,
Yes,Yes,,5191502,Yes,Strongly favor,Legal in all cases,France,Seldom,
Don't know (DO NOT READ),No,,5191547,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5191567,Yes,Strongly favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,,5191569,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,,5191578,Yes,Favor,Legal in all cases,France,Seldom,
Yes,Yes,,5191582,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5191593,Yes,Favor,Legal in most cases,France,Never,
Yes,,Yes,5191645,Yes,Favor,Legal in most cases,France,,A few times a year especially for Eid
Yes,Yes,,5191666,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5191682,Yes,Favor,Illegal in all cases,France,Never,
No,Yes,,5191727,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5191731,Yes,Strongly oppose,Illegal in most cases,France,Seldom,
Yes,No,,5191740,Yes,Strongly favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5191746,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5191774,,Favor,Legal in all cases,France,Seldom,
Yes,Yes,,5191809,Yes,Favor,Legal in all cases,France,A few times a year,
Yes,Yes,Yes,5191833,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5191834,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5191837,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Other / Both / Neither / Depends (DO NOT READ),,5191858,Yes,Oppose,Illegal in most cases,France,Once a week,
Yes,Yes,Yes,5191860,Yes,Favor,Legal in all cases,France,Never,
No,Yes,,5191864,Yes,Strongly oppose,Illegal in all cases,France,Never,
Yes,Yes,,5191869,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5191874,Yes,Strongly favor,Legal in most cases,France,Never,
Yes,,Yes,5191893,Yes,Oppose,Illegal in all cases,France,,Never
Yes,Yes,,5191929,Yes,Favor,Legal in most cases,France,Seldom,
Yes,,Yes,5191933,Yes,Oppose,Legal in most cases,France,,Once a week for Friday Prayer
Yes,Yes,,5191944,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,Yes,5191947,Yes,Oppose,Legal in most cases,France,Never,
Yes,Yes,,5192007,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,,5192030,Yes,Favor,Illegal in all cases,France,Once or twice a month,
Yes,Yes,,5192031,Yes,Favor,Legal in most cases,France,Never,
No,Yes,,5192047,No,Favor,Legal in most cases,France,Once a week,
Yes,,Yes,5192078,Yes,Oppose,Illegal in most cases,France,,More than once a week
Yes,Yes,Yes,5192091,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5192140,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5192159,Yes,Strongly oppose,Legal in most cases,France,Seldom,
Yes,Other / Both / Neither / Depends (DO NOT READ),,5192166,Yes,Oppose,Legal in all cases,France,Never,
Yes,No,,5192187,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,Yes,5192188,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5192197,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5192242,Yes,Strongly favor,Legal in most cases,France,Never,
Yes,Yes,,5192251,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,,5192271,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,,5192282,Yes,Oppose,Legal in most cases,France,Seldom,
Yes,Yes,,5192296,Yes,Favor,Illegal in most cases,France,A few times a year,
Yes,Yes,,5192331,Yes,Strongly favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5192337,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,,5192352,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5192371,Yes,Strongly favor,Legal in all cases,France,A few times a year,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,5192373,No,Oppose,Illegal in most cases,France,Once a week,
Yes,Yes,Yes,5192403,Yes,Favor,Legal in all cases,France,Seldom,
Yes,No,Yes,5192449,,Oppose,Legal in all cases,France,Never,
Yes,No,,5192452,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5192456,Yes,Strongly favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5192475,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5192479,Yes,Favor,Illegal in most cases,France,Seldom,
Yes,Yes,Yes,5192487,Yes,Oppose,Legal in most cases,France,Never,
Yes,Yes,,5192506,Yes,Favor,Legal in most cases,France,Seldom,
No,No,,5192517,No,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5192528,Yes,Favor,Legal in all cases,France,More than once a week,
Yes,Yes,Yes,5192547,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5192552,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5192569,Yes,Oppose,Legal in all cases,France,A few times a year,
Yes,Yes,,5192575,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,,5192657,Yes,Oppose,Illegal in most cases,France,Once or twice a month,
Yes,Yes,Yes,5192658,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5192675,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,No,5192702,Yes,Oppose,Illegal in most cases,France,Never,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,5192716,Yes,Oppose,Illegal in most cases,France,Once a week,
Yes,Yes,Yes,5192726,Yes,Oppose,Legal in all cases,France,Never,
Yes,Yes,Yes,5192727,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5192743,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5192759,Yes,Don't know (DO NOT READ),Legal in most cases,France,Seldom,
Yes,Yes,,5192787,Yes,Strongly favor,Legal in most cases,France,Once a week,
Yes,Yes,Yes,5192873,Yes,Favor,Legal in all cases,France,Never,
Yes,,Yes,5192901,Yes,Oppose,Illegal in all cases,France,,More than once a week
Yes,Yes,,5192909,Yes,Favor,Legal in most cases,France,More than once a week,
No,No,Yes,5192911,Yes,Favor,Legal in most cases,France,Never,
Yes,Other / Both / Neither / Depends (DO NOT READ),,5192922,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5192934,Yes,Don't know (DO NOT READ),Legal in all cases,France,Seldom,
Yes,Yes,,5192952,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,,5192954,Yes,Strongly favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,Yes,5192957,Yes,Favor,Legal in all cases,France,Seldom,
Yes,,Yes,5192967,Yes,Strongly oppose,Illegal in all cases,France,,Never
Yes,Yes,,5192987,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5193006,Yes,Oppose,Legal in all cases,France,Never,
Yes,Yes,,5193024,Yes,Oppose,Illegal in most cases,France,Seldom,
Yes,Yes,,5193036,Yes,Favor,Legal in most cases,France,Seldom,
Don't know (DO NOT READ),Yes,,5193077,Yes,Strongly oppose,Illegal in all cases,France,Never,
Yes,No,,5193081,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5193092,Yes,Favor,Legal in most cases,France,Never,
No,No,Yes,5193098,No,Favor,Legal in all cases,France,Never,
Yes,Yes,,5193107,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5530965,Yes,Oppose,Don't know (DO NOT READ),France,Never,
Yes,Yes,,5530980,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5530999,Yes,Strongly favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5531006,,Favor,Legal in all cases,France,Seldom,
Yes,,Yes,5531027,Yes,Favor,Legal in most cases,France,,Once a week for Friday Prayer
Yes,Yes,,5531034,Yes,Favor,Legal in most cases,France,Seldom,
No,No,,5531050,Yes,Strongly favor,Legal in most cases,France,A few times a year,
Yes,,Yes,5531059,Yes,Favor,Illegal in most cases,France,,Never
Yes,Yes,,5531110,Yes,Strongly favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5531145,Yes,Favor,Legal in all cases,France,Never,
Yes,,Yes,5531180,Yes,Favor,Legal in most cases,France,,A few times a year especially for Eid
Yes,Yes,,5531209,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5531221,Yes,Favor,Legal in most cases,France,Never,
Yes,No,,5531240,Yes,Oppose,Illegal in all cases,France,A few times a year,
Yes,Yes,Yes,5531252,Yes,Favor,Legal in most cases,France,Never,
No,Yes,Yes,5531260,Yes,Strongly oppose,Legal in all cases,France,Never,
Yes,Yes,Yes,5531262,Yes,Strongly favor,Refused (DO NOT READ),France,Seldom,
Yes,Yes,Yes,5531353,,Favor,Legal in most cases,France,Once or twice a month,
Yes,No,,5531355,Yes,Oppose,Illegal in most cases,France,Once or twice a month,
No,No,,5531371,No,Oppose,Legal in all cases,France,Never,
Yes,Yes,,5531373,Yes,Favor,Illegal in all cases,France,Once or twice a month,
Yes,Yes,Yes,5531459,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,,5531477,Yes,Strongly oppose,Illegal in all cases,France,Once a week,
Yes,Yes,,5531482,Yes,Strongly oppose,Illegal in all cases,France,Never,
Yes,Yes,Yes,5531543,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,,5531547,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5531569,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5531605,Yes,Strongly oppose,Don't know (DO NOT READ),France,Never,
Yes,Yes,,5531617,Yes,Strongly oppose,Illegal in all cases,France,Never,
Yes,Yes,,5531676,Yes,Oppose,Illegal in most cases,France,A few times a year,
Yes,Yes,Yes,5531974,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,,5532070,Yes,Don't know (DO NOT READ),Legal in most cases,France,Seldom,
Yes,Yes,Yes,5532085,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5532095,Yes,Favor,Legal in all cases,France,Never,
Yes,,Yes,5532098,Yes,Oppose,Legal in all cases,France,,Never
Yes,Yes,,5532159,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,Yes,5532188,Yes,Favor,Legal in all cases,France,Never,
Yes,,Yes,5532240,Yes,Oppose,Illegal in most cases,France,,Seldom
Yes,Yes,Yes,5532243,Yes,Strongly favor,Legal in most cases,France,Never,
Don't know (DO NOT READ),No,,5532257,Yes,Favor,Legal in most cases,France,Never,
Yes,,Yes,5532318,Yes,Strongly oppose,Illegal in all cases,France,,A few times a year especially for Eid
Yes,,Yes,5532334,Yes,Strongly oppose,Illegal in most cases,France,,A few times a year especially for Eid
Yes,Yes,,5532388,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5532430,Yes,Strongly oppose,Illegal in all cases,France,A few times a year,
Yes,Yes,,5532434,Yes,Strongly oppose,Illegal in all cases,France,A few times a year,
Yes,Yes,,5532442,Yes,Favor,Legal in all cases,France,Seldom,
Yes,Yes,,5532472,Yes,Favor,Legal in all cases,France,A few times a year,
Yes,Yes,Yes,5532530,Yes,Strongly favor,Legal in all cases,France,Seldom,
Yes,Yes,Yes,5532552,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5532603,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5532686,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,,Yes,5532692,Yes,Oppose,Legal in most cases,France,,Once a week for Friday Prayer
Yes,Yes,,5532693,No,Oppose,Illegal in most cases,France,A few times a year,
No,No,No,5532734,No,Strongly favor,Legal in most cases,France,Never,
Yes,Yes,,5532747,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5532759,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,Yes,5532784,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5532792,Yes,Favor,Legal in all cases,France,Seldom,
Yes,No,,5532805,Yes,Oppose,Illegal in most cases,France,Once or twice a month,
Yes,Yes,Yes,5532818,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,,5532845,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,,5532880,Yes,Oppose,Illegal in most cases,France,Once or twice a month,
Yes,Yes,,5532944,Yes,Favor,Legal in all cases,France,Seldom,
Yes,Yes,,5533019,Yes,Oppose,Illegal in most cases,France,Seldom,
Yes,Yes,,5533158,Yes,Favor,Legal in all cases,France,Seldom,
Yes,Yes,,5533178,Yes,Strongly oppose,Illegal in all cases,France,Once or twice a month,
Yes,No,,5533179,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,Yes,5533260,Yes,Oppose,Legal in most cases,France,Never,
Yes,Yes,Yes,5533319,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Other / Both / Neither / Depends (DO NOT READ),,5533333,Yes,Strongly favor,Legal in most cases,France,Seldom,
Yes,Yes,,5533371,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5533383,Yes,Strongly oppose,Legal in all cases,France,Once or twice a month,
Yes,Yes,,5533418,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5533443,Yes,Oppose,Illegal in most cases,France,Never,
Yes,Yes,,5533476,Yes,Favor,Legal in all cases,France,A few times a year,
Yes,Yes,,5533515,Yes,Don't know (DO NOT READ),Legal in most cases,France,Once or twice a month,
No,No,,5533520,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5533559,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,,5533680,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5533692,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5533693,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,Yes,5533699,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5533701,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5533801,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5533840,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5533918,Yes,Oppose,Illegal in most cases,France,Seldom,
,Yes,Yes,5533931,Yes,Strongly oppose,Illegal in all cases,France,Once or twice a month,
Yes,Yes,Yes,5533936,Yes,Favor,Legal in most cases,France,Never,
Yes,Yes,,5533971,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5534080,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,,5534156,Yes,Oppose,Illegal in most cases,France,Once a week,
Yes,Yes,Yes,5534171,Yes,Don't know (DO NOT READ),Legal in most cases,France,Never,
Yes,Yes,,5534181,Yes,Favor,Legal in all cases,France,Seldom,
Yes,No,,5534291,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,No,,5534295,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,,5534321,Yes,Favor,Legal in most cases,France,Seldom,
Yes,Yes,Yes,5534335,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,,5534341,Yes,Favor,Legal in most cases,France,A few times a year,
Yes,Yes,,5534350,Yes,Strongly favor,Legal in most cases,France,Never,
Yes,Yes,,5534369,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,Yes,5534422,Yes,Oppose,Legal in all cases,France,Never,
Yes,Yes,Yes,5534440,Yes,Favor,Legal in most cases,France,Never,
No,No,,5534476,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,Yes,5534504,Yes,Favor,Illegal in most cases,France,Never,
Yes,Yes,,5534510,Yes,Favor,Legal in most cases,France,Once a week,
Yes,Yes,Yes,5534588,Yes,Don't know (DO NOT READ),Legal in all cases,France,Never,
Yes,Yes,Yes,5534612,Yes,Favor,Legal in all cases,France,Never,
Yes,Yes,,5534658,Yes,Favor,Legal in most cases,France,Once or twice a month,
Yes,Yes,Yes,5534673,Yes,Strongly favor,Legal in all cases,France,Never,
Yes,Yes,,5534696,Yes,Don't know (DO NOT READ),Legal in all cases,France,A few times a year,
Yes,Yes,,5534783,Yes,Strongly oppose,Illegal in all cases,France,Never,
Yes,Yes,Yes,5534792,Yes,Favor,Legal in most cases,France,Never,
