Q36b,Q37b,Q38b,QRID,Q39b,Q5,Q6,country,Q15a,Q15b
Yes,Yes,,1013375,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Don't know (DO NOT READ),,1013383,Yes,Favor,Legal in all cases,Austria,Never,
Yes,No,,1013418,Yes,Favor,Legal in all cases,Austria,Seldom,
Yes,Other / Both / Neither / Depends (DO NOT READ),,1013425,Yes,Favor,Legal in all cases,Austria,Seldom,
Yes,Yes,,1013426,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,No,,1013435,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1013441,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1013470,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1013475,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1013480,Yes,Favor,Legal in most cases,Austria,A few times a year,
Don't know (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,1013498,Yes,Strongly favor,Legal in all cases,Austria,Never,
Don't know (DO NOT READ),Yes,,1013512,Yes,Strongly oppose,Illegal in all cases,Austria,Once a week,
Yes,Yes,,1013526,Yes,Favor,Illegal in most cases,Austria,Never,
Yes,No,,1013532,Yes,Strongly oppose,Illegal in all cases,Austria,Once a week,
Yes,Yes,,1013550,Yes,Oppose,Illegal in most cases,Austria,Once or twice a month,
Yes,Yes,,1013560,Yes,Strongly oppose,Illegal in all cases,Austria,Once a week,
Yes,Yes,,1013587,Yes,Favor,Legal in all cases,Austria,A few times a year,
Yes,No,,1013589,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1013602,Yes,Oppose,Legal in most cases,Austria,Never,
Yes,Yes,,1013619,Yes,Favor,Legal in all cases,Austria,Never,
Yes,Yes,,1013620,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,No,,1013625,Yes,Favor,Legal in all cases,Austria,Seldom,
Yes,Yes,,1013630,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1013636,Yes,Strongly favor,Legal in all cases,Austria,Seldom,
Yes,Yes,,1013639,Yes,Oppose,Illegal in all cases,Austria,Never,
Yes,Yes,Yes,1013656,Yes,Oppose,Illegal in most cases,Austria,Never,
Yes,Yes,Yes,1013689,,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1013694,Yes,Favor,Legal in all cases,Austria,A few times a year,
Yes,No,,1013696,Don't know (DO NOT READ),Favor,Legal in most cases,Austria,Seldom,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,1013701,Yes,Oppose,Illegal in most cases,Austria,Once or twice a month,
Yes,Yes,Yes,1013704,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,,1013719,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,Yes,1013731,Yes,Favor,Legal in all cases,Austria,Never,
No,No,,1013734,Yes,Favor,Illegal in most cases,Austria,More than once a week,
Yes,Yes,,1013735,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1013739,Yes,Oppose,Illegal in most cases,Austria,Never,
Yes,Yes,,1013740,Yes,Favor,Legal in most cases,Austria,Seldom,
No,No,,1013780,Yes,Oppose,Illegal in all cases,Austria,Never,
Yes,Yes,,1013788,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,No,,1013790,Yes,Strongly oppose,Legal in most cases,Austria,Never,
Yes,Yes,,1013794,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1013806,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,Yes,1013808,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1013824,,Favor,Legal in all cases,Austria,Seldom,
Yes,Yes,,1013836,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1013837,Yes,Strongly oppose,Illegal in all cases,Austria,Never,
Yes,Yes,Yes,1013840,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,,1013844,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1013867,Yes,Favor,Legal in all cases,Austria,Seldom,
Yes,Yes,,1013868,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1013869,Yes,Strongly favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1013887,Yes,Strongly favor,Legal in most cases,Austria,Seldom,
Yes,Yes,Yes,1013893,Yes,Strongly oppose,Illegal in most cases,Austria,Never,
No,No,Yes,1013929,,Favor,Legal in all cases,Austria,Seldom,
Yes,Yes,Yes,1013944,,Favor,Legal in all cases,Austria,Once a week,
Yes,,Yes,1013947,Yes,Favor,Illegal in most cases,Austria,,Once a week for Friday Prayer
Yes,Yes,,1013957,Yes,Strongly oppose,Illegal in most cases,Austria,Never,
Yes,Yes,,1013979,Yes,Favor,Legal in all cases,Austria,Seldom,
No,No,,1013981,Yes,Oppose,Legal in most cases,Austria,Seldom,
Don't know (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,1014031,Yes,Strongly favor,Legal in all cases,Austria,Seldom,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,1014066,Yes,Oppose,Illegal in most cases,Austria,A few times a year,
Yes,Yes,,1014071,Yes,Strongly favor,Legal in all cases,Austria,A few times a year,
Yes,No,,1014086,Yes,Oppose,Legal in most cases,Austria,Never,
